LFQ	2	0	18	188	297	378	252	394	556	344	564	561	640	728	603	734	847	1131	991	1088	1109	1682	1854	2474	4069	2837	4186	5632	8038	9136	17828	26783	30096	40567	5528	822	1	0	0	0	0	0	0
LFQ	3	0	490	468	639	717	698	1043	1249	971	854	1025	967	1056	939	1553	1352	1852	1714	2064	1729	2833	3264	3088	4877	4245	6414	5693	7255	8305	14498	23251	31587	33646	2613	4	0	3	0	0	0	0	0
LFQ	4	0	83	234	439	459	566	569	768	693	759	938	729	886	940	955	1202	1338	1262	1365	2021	2494	2286	2231	3794	5187	5170	6801	9584	9598	12830	23199	22981	39660	10909	26	0	0	0	0	0	0	0
LFQ	5	0	55	253	388	481	491	580	705	687	731	839	689	804	900	821	1098	1197	1013	1081	1953	1858	2071	2813	3962	4488	4897	5385	6646	6092	12432	18675	24225	39753	23227	1666	0	0	0	0	0	0	0
LFQ	6	0	49	255	365	470	493	583	677	626	777	727	671	898	673	755	903	1269	939	1225	1167	2402	2112	2509	3336	3577	3748	6941	7551	7898	12656	21485	23882	38649	21937	747	4	0	0	0	0	0	0
LFQ	7	0	22	207	342	464	410	462	587	549	674	649	613	657	680	653	848	1121	1066	1143	1169	1609	1749	1956	2676	3626	4154	4562	6769	7147	10425	17184	23769	34571	36242	3330	843	28	0	0	0	0	0
LFQ	8	0	32	278	370	561	470	597	741	684	860	804	773	834	690	1009	977	1422	1194	1157	1437	2331	2008	2390	3261	4642	4362	5617	6521	7244	10300	15095	24667	31677	36788	1163	0	0	0	0	0	0	0
LFQ	9	0	22	235	357	599	386	489	637	542	681	733	621	630	736	678	801	1043	1130	962	1300	1471	1897	1927	3304	3444	3342	4076	6948	7489	8380	14935	24218	30231	43331	4476	868	37	0	0	0	0	0
LFQ	10	0	21	222	390	633	339	570	611	631	675	685	695	544	748	751	771	1071	1121	1093	1239	1348	1981	2091	3205	3601	3798	3803	6493	8203	7906	14460	21966	34058	39701	6666	819	47	0	0	0	0	0
LFQ	11	0	35	169	486	623	342	536	635	861	731	799	827	762	863	976	950	1131	1169	1269	1399	1491	2041	2398	3420	3793	4093	4333	7669	7577	8708	14782	21458	26382	43025	6092	1078	53	0	0	0	0	0
LFQ	12	0	26	208	460	635	386	583	623	650	751	724	719	647	765	829	828	972	1170	1246	1296	1267	2069	1954	2391	4055	3489	4612	6841	8035	6639	13579	22517	27951	41223	10594	2178	44	0	0	0	0	0
LFQ	13	0	22	191	569	624	461	585	666	611	789	740	732	611	710	877	939	1063	1112	1364	1219	1367	1960	2041	2449	3972	3450	4856	6522	7067	8379	12586	21646	26182	38846	15387	2275	36	49	1	0	0	0
LFQ	14	0	16	215	555	624	514	635	663	630	753	770	829	659	799	945	905	1064	1310	1394	1259	1273	1946	2127	2748	4121	3568	5349	6266	7676	7418	13641	21036	27188	39711	13179	532	638	0	0	0	0	0
LFQ	15	0	21	221	571	689	519	682	650	607	813	806	797	735	735	866	1010	1162	1214	1420	1371	1562	1634	2123	2552	4262	3750	4752	6165	7978	8041	12243	21219	25302	39594	13719	2571	598	0	2	0	0	0
LFQ	16	0	40	224	497	732	487	679	714	730	827	826	919	734	738	981	958	1176	1240	1410	1365	1503	1712	2272	2748	4246	3701	4638	6431	7357	7906	12054	20441	25744	38332	14980	2973	639	2	0	0	0	0
